,variance
KCTD12,0.008620208915922868
TBX18,0.008609127179074886
CARMN,0.008592437110476027
LINCADL,0.008569508742898956
CXXC5,0.008554268198725687
CD9,0.008533261562168328
AGPAT2,0.008533098477238073
MEGF9,0.00853273373863928
ARHGAP28,0.008508998962778288
KLF4,0.008505339799820825
SAMHD1,0.008490051424244449
NT5DC1,0.008474456940033572
RALGPS2,0.008473564424785548
ADAMTS15,0.008473504522202215
APLN,0.00846610600148277
CFH,0.008465563072776357
TFRC,0.00846260293399496
SSBP2,0.008448718664485594
DGKI,0.008438796938072072
ANO4,0.008432390717159236
ANK3,0.008410370544329498
KCNA2,0.008403133567903894
CAMKK1,0.008390633523208416
PURPL,0.008369194375750557
MAML3,0.008352603250569034
HES1,0.00835032886656436
THBS1,0.008345620645445527
ACAT2,0.008343291498104031
DOCK4,0.008332649994882332
RDH10,0.008331023834741335
CD55,0.008298779852107068
RAB23,0.008287747990109817
TPM1,0.008275413985317668
ACSS2,0.008273657488290481
SH3PXD2B,0.008271725342873744
PHGDH,0.008250801947552046
ISLR,0.008229845228864411
SLC25A4,0.008229143292843879
MOCS1,0.008197916880759454
AF165147.1,0.008193470171531684
DPYD-AS1,0.008191579728504076
MCTP1,0.008165517667408884
SLC2A3,0.008152974551057249
MIR4435-2HG,0.008151952913077805
CDH2,0.008136025387498204
NCALD,0.00812984559718197
ZNF354A,0.008127921566857642
INSIG1,0.008123596137734905
FAM155A,0.008103596766564908
H1F0,0.008103114432167968
LGR4,0.008091464890150231
RUNX2,0.008089610972366787
SLC38A4,0.008080811080703755
DIRAS3,0.008077896970750946
NRCAM,0.008064259184319324
ARHGAP20,0.00806229936947517
FADS1,0.008060970476615961
MAOA,0.008057790335376574
MRAS,0.008056419310505741
CCND1,0.008054116143118975
SLC16A3,0.008052631869261266
HIST1H2AC,0.008052020511803697
CDK15,0.00804585604217013
NDRG1,0.008031254225593178
PARD3B,0.008006326753714411
TNFRSF21,0.008003441957614493
MYO10,0.00800100504154941
ANGPTL1,0.007999052826494706
TTTY14,0.007998887816704155
TNFRSF12A,0.007992000868142056
SCN8A,0.007947185890674039
SQOR,0.00793157619335095
PALMD,0.007929135753504212
FRMD5,0.007927413117529791
CACHD1,0.007921318157004921
LRMDA,0.007908260860401682
JMJD1C-AS1,0.007905775138318869
PXK,0.007900024561494976
EEPD1,0.007886428669745699
COL18A1,0.007871958809000918
ARHGAP31,0.007864990672609241
ENPP2,0.007836717271099043
CLDN11,0.007816917477288764
PHLDA2,0.007816043774904507
DHCR24,0.007813026368608058
GCLC,0.00781210485837971
CYLD,0.007806226884653948
SOX9,0.007805284104464815
SLC7A11,0.00780267602224526
BAALC,0.007796376449724718
JADE1,0.007795135671981585
SPRED2,0.007784038015763538
TNFAIP6,0.007776528957139367
TMEM135,0.007770139520394252
NMB,0.007757742863430657
PLXNA4,0.007755576598497985
ECM2,0.007752836056127557
MTHFD1,0.007743149814458006
VASN,0.0077321957224913435
ADAMTS9,0.007729368673715605
TSPAN5,0.007725733385487176
ATF5,0.00770636017710225
TUBB3,0.0076747479111674574
OGN,0.007656321377299898
KCNQ5,0.007650513247139934
TOB1,0.0076458558416046376
AMOTL2,0.007644751302816987
MAP2K6,0.007625400536562786
DOCK5,0.0076195390558556056
SEPTIN6,0.007602518429390674
BEND6,0.007585105375665815
LTBP1,0.0075699729938202105
GRAMD2B,0.007551756411363857
SEMA5A,0.007536959434596988
PDE7A,0.007530707451099825
HPGD,0.007526302214205873
ETS1,0.007516311649028723
FILIP1L,0.007515544070112683
PITPNC1,0.007506410837753137
DIO2,0.007506402227666278
DNAJC6,0.007494348157974317
IRF2BPL,0.007487382186963207
HDAC9,0.007482965259314321
AHR,0.0074806409686361515
PTGDS,0.007477424193627765
MTHFD2L,0.007477268827641247
FLRT2,0.00747274634501526
TGFB2,0.007445395267357263
TBC1D8,0.0074398806142165095
PACRG,0.007439499217662097
PGF,0.007421741987827015
LRRC36,0.007421722775317721
IFIT3,0.007413449047666455
PPM1L,0.0074078327396725745
ANXA11,0.007402132632410381
MYLK,0.007390045395664
PSAT1,0.007379237910318995
ALCAM,0.007354546501637283
PDE5A,0.007350918411190449
TXLNG,0.00734352132251489
SMOX,0.007341888687027505
MFAP4,0.007341020140126508
TAGLN,0.007330438804239307
RGS2,0.007320953483891749
NEFL,0.007308720030794809
PKD2L1,0.007300083194689424
NPAS2,0.00729337744649188
ZFPM2,0.007278981666584984
CPM,0.007276776761649974
RNF152,0.007269609854308709
NAV2,0.007259943642998567
GYG2,0.007258452593639175
TCEAL3,0.007257503342522351
VEGFC,0.007230582713802369
NR2F2-AS1,0.0072236977315002756
PCNX2,0.007213139251928429
PRKN,0.007206782304127218
RNF24,0.007201403390658238
HPD,0.007199507222508421
PLCB1,0.007188782436210322
IDI1,0.007187814581403754
NLGN4Y,0.007176081602929501
GXYLT2,0.007172191007052018
ANKRD33B,0.007161750610120256
ETS2,0.0071596844224794684
SNED1,0.0071594918331064124
MSX1,0.007147719583690766
OSBPL11,0.007147187525546232
DUSP10,0.0071383831909539695
TMEM97,0.007123976591293471
PLXNA2,0.0070986046997374395
CCDC173,0.0070923710761430165
APOC1,0.007049778055270189
CDC42EP2,0.0070478401890484935
SLC22A23,0.007047802197187263
DDIT4,0.007043723005715289
ROBO1,0.007040489809473633
PLAAT5,0.007031982376751475
RGS17,0.007029514325701098
RNF150,0.007023329936354634
DPH6-DT,0.0070079656612073455
APOD,0.006989317506624041
RGS3,0.006980203512714055
PLPP4,0.006978300645024822
KCNMA1,0.006960472628404312
PEX19,0.006957533695144132
MEIS1,0.0069571557092743515
CENPP,0.006954184477097405
SUGCT,0.006953720088487479
GAB2,0.006952961653196331
GPC6,0.006945849621246096
SLPI,0.00694489736067843
KDELR3,0.006942888167125087
COL5A3,0.006937978107806985
MIR137HG,0.006934454620133553
PRSS23,0.006931372636041146
DDAH1,0.006925227841182777
ST5,0.006924762309468709
THSD4,0.006924120925774051
EPHB1,0.0069227874633208415
CACNA1C,0.006920098500385228
GLYATL2,0.006911366626142898
PCBD1,0.006910165715498086
HYI,0.006908440239427529
CTH,0.006906222237580592
LURAP1L,0.006898534404617818
TJP2,0.006894673329243997
ZBED3,0.006892166288379023
EGFLAM,0.006884391889138126
SLC8A1,0.006883583779884751
NREP,0.006865296740504086
ST6GALNAC3,0.0068267597740338404
SLC1A3,0.006826130299714188
TRIM35,0.006812811865612173
CPED1,0.0068084401784570155
KIF7,0.006801407913310042
TP53I11,0.006790355111025874
ADAMTS5,0.006789300085440268
DEC1,0.0067888940771791625
SIPA1L1,0.006787752729198985
C2CD2,0.006787582727043456
ME1,0.006782227846594841
SYT14,0.006781843958779682
PRKY,0.00677841937570223
ZEB1-AS1,0.006776962648766345
SQLE,0.006774943615484669
PKN2-AS1,0.0067564248314678586
MYO1E,0.0067487576780505595
MT2A,0.0067447476353263685
CDKN2C,0.006725622044049249
SRGAP3,0.00672384121219784
